2021-01-05 17:21:58 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 17:22:41 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 17:24:38 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 17:24:59 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:12:56 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:13:05 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:13:33 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:15:52 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:16:06 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:16:30 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:17:06 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:44:39 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:44:45 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 18:45:09 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 19:08:20 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 19:10:25 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-05 19:11:11 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 09:59:20 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:02:13 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:05:06 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:06:46 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:11:17 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:11:52 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:12:02 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:40:44 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
2021-01-06 10:41:25 +0800 (ChaoChuanLu) | INFO | app.py - <module> : ========== Calculate Video Sharpness ==========
